id,underlying,dte_bucket,metric,value,sample_size,method,computed_at
147,BTC,2-3,ivr_threshold,65.0280183392766,21330,pct_85,2026-01-29 01:41:35
148,BTC,2-3,delta_imbalance_threshold,0.17042377372073772,1090,pct_85,2026-01-29 01:41:35
149,BTC,2-3,skew_threshold,0.16437820809682893,1090,pct_85,2026-01-29 01:41:35
150,BTC,2-3,gamma_concentration_threshold,0.4746900890526805,1090,pct_85,2026-01-29 01:41:35
151,BTC,2-3,vega_concentration_threshold,0.4574565541976218,1090,pct_85,2026-01-29 01:41:35
152,BTC,2-3,volume_spike_threshold,52.39,21330,pct_95,2026-01-29 01:41:35
177,BTC,0-1,ivr_threshold,27.98270503985948,45000,pct_85,2026-01-30 15:11:38
178,BTC,0-1,delta_imbalance_threshold,0.398539425006485,1911,pct_85,2026-01-30 15:11:38
179,BTC,0-1,skew_threshold,0.4773556970575443,1911,pct_85,2026-01-30 15:11:38
180,BTC,0-1,gamma_concentration_threshold,0.8041375527496304,1911,pct_85,2026-01-30 15:11:38
181,BTC,0-1,vega_concentration_threshold,0.7672215161818116,1911,pct_85,2026-01-30 15:11:38
182,BTC,0-1,volume_spike_threshold,209.1644999999996,45000,pct_95,2026-01-30 15:11:38
183,BTC,4-7,ivr_threshold,54.63098404255323,4490,pct_85,2026-01-30 15:12:18
184,BTC,4-7,delta_imbalance_threshold,1.0,367,pct_85,2026-01-30 15:12:18
185,BTC,4-7,skew_threshold,1.0,367,pct_85,2026-01-30 15:12:18
186,BTC,4-7,gamma_concentration_threshold,0.4613796072458862,367,pct_85,2026-01-30 15:12:18
187,BTC,4-7,vega_concentration_threshold,0.45579693203220784,367,pct_85,2026-01-30 15:12:18
188,BTC,4-7,volume_spike_threshold,93.4,4490,pct_95,2026-01-30 15:12:18
189,BTC,8-14,ivr_threshold,50.731331793687474,10291,pct_85,2026-01-30 15:12:54
190,BTC,8-14,delta_imbalance_threshold,1.0,1123,pct_85,2026-01-30 15:12:54
191,BTC,8-14,skew_threshold,1.0,1123,pct_85,2026-01-30 15:12:54
192,BTC,8-14,gamma_concentration_threshold,0.5975619995444589,1123,pct_85,2026-01-30 15:12:54
193,BTC,8-14,vega_concentration_threshold,0.5895179146227248,1123,pct_85,2026-01-30 15:12:54
194,BTC,8-14,volume_spike_threshold,63.63,10291,pct_95,2026-01-30 15:12:54
195,BTC,15-30,ivr_threshold,41.73076923076923,11982,pct_85,2026-01-30 15:13:34
196,BTC,15-30,delta_imbalance_threshold,1.0,1123,pct_85,2026-01-30 15:13:34
197,BTC,15-30,skew_threshold,1.0,1123,pct_85,2026-01-30 15:13:34
198,BTC,15-30,gamma_concentration_threshold,0.7558830447950474,1123,pct_85,2026-01-30 15:13:34
199,BTC,15-30,vega_concentration_threshold,0.7635074636201652,1123,pct_85,2026-01-30 15:13:34
200,BTC,15-30,volume_spike_threshold,42.63,11982,pct_95,2026-01-30 15:13:34
201,BTC,31-60,ivr_threshold,59.75975975975977,6183,pct_85,2026-01-30 15:14:09
202,BTC,31-60,delta_imbalance_threshold,1.0,1123,pct_85,2026-01-30 15:14:09
203,BTC,31-60,skew_threshold,1.0,1123,pct_85,2026-01-30 15:14:09
204,BTC,31-60,gamma_concentration_threshold,1.0,1123,pct_85,2026-01-30 15:14:09
205,BTC,31-60,vega_concentration_threshold,1.0,1123,pct_85,2026-01-30 15:14:09
206,BTC,31-60,volume_spike_threshold,25.61,6183,pct_95,2026-01-30 15:14:09
207,BTC,121-200,ivr_threshold,49.565217391304394,1210,pct_85,2026-01-30 15:14:44
208,BTC,121-200,delta_imbalance_threshold,1.0,1123,pct_85,2026-01-30 15:14:44
209,BTC,121-200,skew_threshold,1.0,1123,pct_85,2026-01-30 15:14:44
210,BTC,121-200,gamma_concentration_threshold,1.0,1123,pct_85,2026-01-30 15:14:44
211,BTC,121-200,vega_concentration_threshold,1.0,1123,pct_85,2026-01-30 15:14:44
212,BTC,121-200,volume_spike_threshold,6.98,1210,pct_95,2026-01-30 15:14:44
213,BTC,201-365,ivr_threshold,89.13649025069634,4284,pct_85,2026-01-30 15:15:12
214,BTC,201-365,delta_imbalance_threshold,1.0,1124,pct_85,2026-01-30 15:15:12
215,BTC,201-365,skew_threshold,1.0,1124,pct_85,2026-01-30 15:15:12
216,BTC,201-365,gamma_concentration_threshold,1.0,1124,pct_85,2026-01-30 15:15:12
217,BTC,201-365,vega_concentration_threshold,1.0,1124,pct_85,2026-01-30 15:15:12
218,BTC,201-365,volume_spike_threshold,0.61,4284,pct_95,2026-01-30 15:15:12
